,all,nt1,nt2,nt12,nt1pct,nt2pct,nt12pct
2009-10-25,17957508,5044562,2167991,2167849,0.2809165948861056,0.12072894524117711,0.12072103768518438
2009-10-26,22726423,6832503,2726760,2726605,0.3006413723796305,0.11998192588424496,0.11997510562924926
2009-10-27,21771489,6629153,2604738,2604589,0.30448780972215544,0.11963986477911548,0.1196330209660901
2009-10-28,22203464,6831993,2660262,2660154,0.30769942023460845,0.11981292648750663,0.11980806238161758
2009-10-29,22763258,7087676,2740340,2740215,0.31136474400984254,0.1203843491999256,0.12037885789459488
2009-10-30,27007817,8386887,3197378,3197098,0.3105355386553456,0.11838713214029849,0.11837676477147338
2009-10-31,25122807,7555771,3047284,3047157,0.30075345481896193,0.12129552243107229,0.121290467263471
2009-11-01,18776503,5474210,2419631,2419523,0.29154576866629534,0.12886483707855503,0.1288590852087846
2009-11-02,21843137,6003870,2475089,2474966,0.27486299243556456,0.11331197528999612,0.11330634423068445
2009-11-03,25437113,7229872,2780723,2779825,0.284225336420843,0.10931755502285184,0.10928225227446212
2009-11-04,25201137,7051122,2638087,2637937,0.27979380454143793,0.10468126894433374,0.104675316831935
2009-11-05,21417458,5435685,2053614,2053466,0.25379692585366576,0.09588504854310909,0.09587813829260224
2009-11-06,28034232,7830139,2915434,2915247,0.27930634946589583,0.10399550092900708,0.10398883051263898
2009-11-07,26780687,7271326,2857996,2857615,0.2715137964907323,0.10671854683936972,0.1067043201692324
2009-11-08,20798061,5293494,2230560,2230449,0.254518630366552,0.10724845936359163,0.10724312232760544
2009-11-09,26612574,7087986,2596351,2596221,0.2663397385010559,0.09756106267661294,0.09755617776769733
2009-11-10,25561715,7059380,2636599,2636481,0.27617004571093917,0.1031464046915475,0.10314178841286667
2009-11-11,25165709,7071246,2638293,2638165,0.2809873546578799,0.10483682379065895,0.10483173750439537
2009-11-12,25451998,7131867,2799578,2618443,0.2802085321553145,0.10999442951394228,0.10287769942461884
2009-11-13,29509101,8295751,3041937,3041290,0.28112516880809074,0.10308470596918558,0.10306278052997955
2009-11-14,28448460,7740780,2989176,2988562,0.2720983842359129,0.1050733853431785,0.10505180245257564
2009-11-15,21951008,5716283,2413049,2412676,0.26041095698202105,0.10992884700329024,0.10991185461733693
2009-11-16,22258943,5695232,2264443,2264352,0.25586264361250216,0.10173182976388412,0.10172774151944232
2009-11-17,27606133,7326106,2726099,2725766,0.26537965313722134,0.09874975970013619,0.09873769716316298
2009-11-18,26694416,7246345,2701687,2701553,0.2714554609473382,0.10120794551190032,0.10120292573547966
2009-11-19,26865776,7452727,2734290,2734080,0.2774059829874261,0.10177595465695835,0.10176813802065497
2009-11-20,29997880,8299018,3029656,3028915,0.2766534835128349,0.10099567036070549,0.10097096861511547
2009-11-21,28002903,7400900,2853798,2853505,0.2642904558859487,0.10191079117761469,0.10190032797671013
2009-11-22,21594032,5432342,2270462,2270343,0.2515668217959481,0.10514303211183534,0.10513752132996747
2009-11-23,27768935,7417217,2791323,2790942,0.26710484215545177,0.1005196274181923,0.10050590705045044
2009-11-24,26611252,7172410,2656816,2656620,0.26952546238711356,0.09983806849824277,0.09983070319276974
2009-11-25,26037198,7022925,2537730,2537447,0.2697266042221594,0.09746555677765327,0.09745468771255647
2009-11-26,26114453,7232736,2633613,2633461,0.2769629522778057,0.10084886710052858,0.10084304656888658
2009-11-27,29721105,8178018,2933133,2932743,0.2751586120368001,0.09868855818113088,0.09867543619256418
2009-11-28,28457602,7683170,2949269,2948588,0.26998655754620504,0.10363729874358353,0.10361336840679689
2009-11-29,22070961,5655696,2365466,2365357,0.25625055474476166,0.10717548728394745,0.10717054866799865
2009-11-30,24339250,5917062,2193430,2193195,0.24310781967398337,0.09011904639625297,0.09010939120967162
2009-12-01,25022278,6595261,2428911,2428762,0.26357556254470516,0.09706993903592631,0.09706398434227291
2009-12-02,25085285,7020044,2531443,2531238,0.27984708963840754,0.10091346380956007,0.10090529168793577
2009-12-03,27352754,7733604,2852543,2852182,0.282735844441843,0.10428723191821927,0.10427403397844327
2009-12-04,29911631,8433644,3083908,3083361,0.2819519938581751,0.1031006299857069,0.10308234278498554
2009-12-05,27819491,7657009,2953910,2952840,0.27523900419313924,0.1061813100750118,0.10614284783283777
2009-12-06,21795503,5695580,2379825,2379699,0.26131904365776737,0.109188808351888,0.10918302734284224
2009-12-07,22853852,6252446,2150711,2149811,0.27358390174225333,0.0941071553276883,0.09406777465785636
2009-12-08,28347018,7803262,2911745,2911347,0.27527629184840535,0.10271785907074953,0.10270381879321486
2009-12-09,28446275,7855878,2894442,2894150,0.2761654381812733,0.1017511783177235,0.10174091335333009
2009-12-10,29141273,8136771,2975141,2974746,0.2792181041644955,0.10209372116310773,0.10208016650473711
2009-12-11,32762702,9233222,3363108,3362912,0.2818211391722209,0.10265050788546073,0.10264452547289903
2009-12-12,29847934,8280669,3260480,3260351,0.27742854832096586,0.10923637126777351,0.10923204936060231
2009-12-13,23514762,6152746,2574469,2574358,0.2616546150881731,0.10948309831926005,0.10947837788024391
2009-12-14,30529077,8458518,3197642,3197475,0.2770643213353617,0.10474086720669609,0.10473539701183891
