Identifier,battery/assualt,burglary,homicide,kidnapping,robbery,sexual offense,theft,theft from a vehicle,theft of cattle,nhs,ahs,comp,mcomp,prox,cohe,nmi,nmmi,poverty_rate,active_unoccupied,aver_income,PI_type,female_rate,male_to_female_ratio,female_headed_household_rate,male_to_female_household_ratio,adult_rate,nev_mar_rate,foreign_ent_rate,no_spanish_rate,popu
11028,187.0,60.0,25.0,1.0,276.0,16.0,17.0,63.0,11.0,47,10.284093661115222,1.8579346358030107,1.8435739279286207,0.18206458411806586,0.03230012320274876,0.03233030363146763,0.02907730948589997,10.06433,5.553593501677556,1749.59,"PI<40%,1~4999",52.72219589094731,0.8967,20.927707105181508,3.7783543365455894,66.04776722237105,33.82648474271511,5.135888355719464,0.0010303542357862634,97054
11029,55.0,10.0,12.0,0.0,55.0,6.0,9.0,9.0,19.0,11,2.180014485314761,1.5464140348616882,1.365999561586838,0.31738749455296117,0.07862586903142509,0.07895371026686909,0.07895371026684257,20.708109999999998,7.410795974382434,1277.29,"PI<40%,1~4999",53.41077540899658,0.8723000000000001,24.97707040733747,3.003672102818879,56.11675605746166,40.000754944889025,4.127717391304349,0.0,37103
11030,205.0,55.0,20.0,0.0,248.0,14.0,17.0,14.0,63.0,10,1.9946520275208042,1.4202687665955187,1.3937966748411594,0.12538176408494778,0.016132023616600096,0.01621171282470963,0.016211712824715185,18.8306,6.362750597891878,1364.81,"PI<40%,1~4999",51.99715760341087,0.9231999999999999,19.765426663044394,4.05933930518034,56.320592415289106,39.52095808383233,10.564237011609155,0.0,106952
11031,307.0,30.0,36.0,1.0,633.0,21.0,10.0,56.0,3.0,7,1.518760086485946,0.28232740575671345,0.27508929063307064,0.6055087757061586,0.31910220029571773,0.32048786695922515,0.3033256419696587,6.768929999999999,2.1399556095313876,2062.4,"PI<40%,1~4999",51.54882451351589,0.9399,18.376227775705583,4.441813261163735,60.287928150039626,37.2368800461361,7.779731257063921,0.007924627982741923,113570
11032,129.0,15.0,30.0,1.0,178.0,16.0,10.0,40.0,5.0,22,5.187816790252981,1.0708378541752175,0.9276976125994829,0.38391369126449354,0.08965779630290374,0.08981369887446274,0.09377605920925162,4.99889,5.450603902136884,2048.65,"PI<40%,1~4999",52.1661073593791,0.917,17.482362705768434,4.720050640924197,57.80061040449655,39.2597884006487,21.740160883324737,0.0013810056483131016,72411
11033,187.0,51.0,41.0,1.0,315.0,16.0,30.0,84.0,12.0,30,7.213354293611021,0.492150302389868,0.47166985594918326,0.7301337246666455,0.4756379402144328,0.4759674496001829,0.4260106553287403,13.634470000000002,8.094277791782204,1681.94,"PI<40%,>5000",52.68209172027392,0.8981999999999999,22.97725933372621,3.3521291441934147,55.80514629591201,42.09549848647593,7.641561297416163,0.04755481773535312,115656
11034,9.0,2.0,0.0,0.0,7.0,3.0,1.0,2.0,0.0,3,0.5507059379536896,0.5098587114068737,0.49211409396595096,0.9434814390281523,0.8350011135189622,0.8368449454193362,0.8368449454193151,23.71333,8.940646130728776,1030.68,"PI<40%,1~4999",53.10546874999999,0.883,27.485265225933205,2.63831308077198,56.85546875000001,40.95238095238095,15.763152630526106,0.0,5120
11035,139.0,56.0,20.0,0.0,211.0,8.0,5.0,51.0,21.0,20,4.689816386063741,1.4052453763107566,1.2429510242445587,0.29513028247823186,0.04897931596457613,0.049078171382677206,0.0490679223330243,19.98368,7.451381059751973,1581.77,"PI<40%,1~4999",52.12841164440629,0.9183,20.2177490821623,3.9461490294301815,60.89201403792259,35.57375925418152,2.7725396259110138,0.0,79214
11036,7.0,9.0,1.0,0.0,13.0,1.0,1.0,1.0,1.0,8,1.6556768393363641,0.5567457079045157,0.5359033719068056,0.9292545986943738,0.8186225573557597,0.8193228598948781,0.8193228598950502,8.26482,10.148975791433893,1759.54,"PI<40%,1~4999",53.35832083958021,0.8741,25.915915915915917,2.858632676709154,68.69565217391305,33.899570655217474,6.415556576328281,0.0,6670
11037,664.0,138.0,65.0,0.0,1050.0,24.0,30.0,236.0,35.0,14,3.2268523536484044,0.9913138866867309,1.4865159228806517,0.254490169435002,0.026865565560451797,0.026946393633911735,0.009736651284277352,12.81524,5.97721765946065,1869.3,"PI<40%,1~4999",51.481875346772696,0.9423999999999999,18.09814883548297,4.525426987534848,59.43741908636952,35.548685009427025,4.690206451008848,0.00809136304790087,173024
11038,9.0,2.0,10.0,0.0,14.0,3.0,2.0,4.0,0.0,13,2.643933094384197,0.6410597813020029,0.6161197211929175,0.7828975554564109,0.5679918167807226,0.5688583642024275,0.568858364202504,10.21181,3.292181069958848,1691.63,"PI<40%,1~4999",52.6587062967099,0.899,23.62116511547742,3.2334914264866836,64.78824843226528,34.58612975391499,16.467905997895475,0.0,11641
11039,54.0,23.0,11.0,0.0,129.0,4.0,10.0,11.0,6.0,26,5.427421973143765,1.1485571336954463,1.1568838518587887,0.37896246690175,0.12939444066290626,0.1295988896416136,0.12959888964151206,9.4168,6.513315194987221,1596.69,"PI<40%,1~4999",52.27854150853223,0.9128000000000001,21.35256428349657,3.6832782551222736,65.44376036659077,35.184383344158185,4.422463122178452,0.0,35571
11040,17.0,4.0,2.0,0.0,19.0,2.0,3.0,1.0,0.0,5,0.8989816011524487,0.7201644426268079,0.6902495740328317,0.6819637817169579,0.36905311086310555,0.3715039523409418,0.37150395234096134,28.137099999999997,3.8348082595870205,1228.83,"PI<40%,1~4999",51.77441540577716,0.9315000000000001,17.284359144054708,4.78557753669432,55.60385144429161,42.787191046168196,7.350011069293778,0.005502063273727648,18175
11041,66.0,41.0,21.0,0.0,188.0,9.0,7.0,34.0,3.0,13,2.6052734489437483,0.5827633359126301,0.5827934812231853,0.45393084045869453,0.17946615299635588,0.180022005837678,0.11275779730481435,8.71481,4.927443788869399,1964.76,"PI<40%,1~4999",52.22831127223674,0.9147,20.593505230286173,3.8558999005634735,65.23564623556193,32.286749368756176,10.4280384163615,0.0,59305
11042,207.0,80.0,20.0,1.0,337.0,13.0,35.0,32.0,5.0,32,7.2617648767963425,0.3704794029598598,0.35129190635962587,0.9270365523376278,0.8177497459396871,0.817910041208847,0.7717555480698466,12.33148,6.046095767931651,1590.63,"PI<40%,1~4999",52.61098271632946,0.9007,21.364596384463937,3.680640729198083,64.02401848884855,32.77395442396699,3.8188589347091364,0.0014178564845666322,141058
11043,44.0,9.0,2.0,0.0,29.0,7.0,6.0,6.0,1.0,6,1.1677766075644247,0.6429996790590236,0.6259064074181075,0.7888653530087699,0.5656887036253516,0.5676663764997061,0.5676663764997181,28.1736,7.3449401523394995,1131.32,"PI<40%,1~4999",52.749747729566096,0.8956999999999999,23.774670637524608,3.2061571125265393,56.54389505549949,42.36062350793428,8.215066890482731,0.0,19820
11044,190.0,51.0,21.0,1.0,273.0,7.0,8.0,72.0,3.0,7,1.1595384759572762,2.7971049956267158,2.8007480129188607,0.06404910898730656,0.0037696044390356106,0.0038019716466035237,0.0022399904356165804,5.39374,6.246188249644237,2109.51,"PI<40%,1~4999",51.767595281632076,0.9317,18.794192259944946,4.320792647903504,61.67580940088201,32.70379416245496,6.373196734664326,0.0,55782
11045,10.0,3.0,8.0,0.0,15.0,1.0,0.0,0.0,0.0,2,0.28361661440764835,0.5917329988768854,0.5917329988768854,0.6926162081351378,0.44387285525686826,0.45193503634362053,0.4507052820872594,29.16906,1.3100436681222707,931.21,"PI<40%,1~4999",52.1280276816609,0.9184,19.013840830449826,4.2593266606005455,55.21626297577855,40.3485254691689,6.878537222464083,0.0,11560
